hdap, 263/tcp, HDAP
hdap, 263/udp, HDAP
bgmp, 264/tcp, BGMP
bgmp, 264/udp, BGMP
x-bone-ctl, 265/tcp, CTL
x-bone-ctl, 265/udp, CTL
sst, 266/tcp, ST
sst, 266/udp, ST
td-service, 267/tcp, Layer
td-service, 267/udp, Layer
td-replica, 268/tcp, Replica
td-replica, 268/udp, Replica
manet, 269/tcp, Protocols
manet, 269/udp, [RFC5498]
http-mgmt, 280/tcp, http-mgmt
http-mgmt, 280/udp, http-mgmt
personal-link, 281/tcp, Link
personal-link, 281/udp, Link
cableport-ax, 282/tcp, A/X
cableport-ax, 282/udp, A/X
rescap, 283/tcp, rescap
rescap, 283/udp, rescap
corerjd, 284/tcp, corerjd
corerjd, 284/udp, corerjd
k-block, 287/tcp, K-BLOCK
k-block, 287/udp, K-BLOCK
novastorbakcup, 308/tcp, Backup
novastorbakcup, 308/udp, Backup
entrusttime, 309/tcp, EntrustTime
entrusttime, 309/udp, EntrustTime
bhmds, 310/tcp, bhmds
bhmds, 310/udp, bhmds
asip-webadmin, 311/tcp, WebAdmin
asip-webadmin, 311/udp, WebAdmin
vslmp, 312/tcp, VSLMP
vslmp, 312/udp, VSLMP
magenta-logic, 313/tcp, Logic
magenta-logic, 313/udp, Logic
opalis-robot, 314/tcp, Robot
opalis-robot, 314/udp, Robot
dpsi, 315/tcp, DPSI
dpsi, 315/udp, DPSI
decauth, 316/tcp, decAuth
decauth, 316/udp, decAuth
zannet, 317/tcp, Zannet
zannet, 317/udp, Zannet
pkix-timestamp, 318/tcp, TimeStamp
pkix-timestamp, 318/udp, TimeStamp
ptp-event, 319/tcp, Event
ptp-event, 319/udp, Event
ptp-general, 320/tcp, General
ptp-general, 320/udp, General
rtsps, 322/tcp, RTSPS
rtsps, 322/udp, RTSPS
rpki-rtr, 323/tcp, Router
rpki-rtr-tls, 324/tcp, Router
texar, 333/tcp, Port
texar, 333/udp, Port
pdap, 344/tcp, Protocol
pdap, 344/udp, Protocol
pawserv, 345/tcp, Workbench
pawserv, 345/udp, Workbench
zserv, 346/tcp, server
zserv, 346/udp, server
csi-sgwp, 348/tcp, Protocol
csi-sgwp, 348/udp, Protocol
matip-type-a, 350/tcp, A
matip-type-a, 350/udp, A
matip-type-b, 351/tcp, 5/21/97)
